구분,홈페이지 주소,검색주소창
대전투데이,https://www.daejeontoday.com/,https://www.daejeontoday.com/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
중부매일,https://www.jbnews.com/,https://www.jbnews.com/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
중앙매일,http://www.jamill.kr/,http://www.jamill.kr/news/articleList.html
충청신문,https://www.dailycc.net/,https://www.dailycc.net/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
투데이충남,https://www.todaychungnam.net/,https://www.todaychungnam.net/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
당진투데이,http://djtoday.co.kr/,http://djtoday.co.kr/coding/search.aspx?search=%C7%F6%B4%EB%C1%A6%C3%B6
시대일보,https://www.sidaeilbo.co.kr/,https://www.sidaeilbo.co.kr/search.html?submit=submit&search_and=1&search_exec=all&search_section=all&news_order=1&search=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0&imageField.x=0&imageField.y=0
충청탑뉴스,http://www.ctnews.kr/,http://www.ctnews.kr/searchs.php?searchword=%C7%F6%B4%EB%C1%A6%C3%B6&x=0&y=0
충남뉴스통신,http://www.chnews365.com/,http://www.chnews365.com/news/articleList.html
충남인터넷뉴스,https://www.shanews.com/,http://www.shanews.com/news/articleList.html
메가충청뉴스,https://www.megaccnews.com/,https://www.megaccnews.com/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
로컬투데이,https://www.localtoday.co.kr/,https://www.localtoday.co.kr/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
e당진뉴스,https://www.edjnews.com/,https://www.edjnews.com/search.html?submit=submit&search_and=1&search_exec=all&search_section=all&news_order=1&search=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0&imageField.x=0&imageField.y=0
충남신문,https://www.ccsimin.com/,https://www.ccsimin.com/search.html?submit=submit&search_and=1&search_exec=all&search_section=all&news_order=1&search=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0&imageField.x=0&imageField.y=0
충남팩트뉴스,https://www.cnfactnews.com/,https://www.cnfactnews.com/news/articleList.html?sc_area=A&view_type=sm&sc_word=%ED%98%84%EB%8C%80%EC%A0%9C%EC%B2%A0
